ensemble,form,analysis,metric,bin,lower_distance,upper_distance,base_vectors,perturbation_trials,flips,flip_rate,mean_distance,midpoint_reachable,minimum_midpoint_distance,below_midpoint_share,at_midpoint_share,above_midpoint_share,median_restraint
boundaryFocused,core,distance-quintile,posture-flip,q1,0,0,0,0,0,0,0,,,,,,
boundaryFocused,core,distance-quintile,posture-flip,q2,0,0.5,20,1020,70,0.068627,0,,,,,,
boundaryFocused,core,distance-quintile,posture-flip,q3,0.5,1,12,631,34,0.053883,0.5,,,,,,
boundaryFocused,core,distance-quintile,posture-flip,q4,1,1.5,14,733,12,0.016371,1,,,,,,
boundaryFocused,core,distance-quintile,posture-flip,q5,1.5,3,18,931,8,0.008593,1.916667,,,,,,
boundaryFocused,core,distance-quintile,primary-family-flip,q1,0,0,0,0,0,0,0,,,,,,
boundaryFocused,core,distance-quintile,primary-family-flip,q2,0,0,0,0,0,0,0,,,,,,
boundaryFocused,core,distance-quintile,primary-family-flip,q3,0,0.37,37,1921,878,0.457054,0.025405,,,,,,
boundaryFocused,core,distance-quintile,primary-family-flip,q4,0.37,0.374,14,732,119,0.162568,0.37,,,,,,
boundaryFocused,core,distance-quintile,primary-family-flip,q5,0.374,2.15,13,662,49,0.074018,1.006154,,,,,,
boundaryFocused,core,distance-quintile,pure-blend-transition,q1,0.0025,0.0025,11,573,241,0.420593,0.0025,,,,,,
boundaryFocused,core,distance-quintile,pure-blend-transition,q2,0.0025,0.3675,12,614,258,0.420195,0.107083,,,,,,
boundaryFocused,core,distance-quintile,pure-blend-transition,q3,0.3675,0.3675,0,0,0,0,0,,,,,,
boundaryFocused,core,distance-quintile,pure-blend-transition,q4,0.3675,0.3675,0,0,0,0,0,,,,,,
boundaryFocused,core,distance-quintile,pure-blend-transition,q5,0.3675,1.7825,41,2128,456,0.214286,0.480305,,,,,,
boundaryFocused,core,placement-claim-band,full-archetype-flip,lowDifferentiation,,,19,992,405,0.408266,0.010526,,,,,,
boundaryFocused,core,placement-claim-band,full-archetype-flip,sharplyDifferentiated,,,1,51,4,0.078431,2.15,,,,,,
boundaryFocused,core,placement-claim-band,full-archetype-flip,stableModeration,,,44,2272,878,0.386444,0.382955,,,,,,
boundaryFocused,core,posture-midpoint-location,restraint-score-distribution,all,1,6.5,64,0,0,0,0.851563,true,0,0.375,0.3125,0.3125,4
boundaryFocused,fullExtended,distance-quintile,posture-flip,q1,0,0.02,10,1713,0,0,0.006,,,,,,
boundaryFocused,fullExtended,distance-quintile,posture-flip,q2,0.02,0.492,16,2770,16,0.005776,0.2375,,,,,,
boundaryFocused,fullExtended,distance-quintile,posture-flip,q3,0.492,0.66,11,1898,165,0.086934,0.587273,,,,,,
boundaryFocused,fullExtended,distance-quintile,posture-flip,q4,0.66,0.76,13,2271,14,0.006165,0.695385,,,,,,
boundaryFocused,fullExtended,distance-quintile,posture-flip,q5,0.76,1.05,14,2423,0,0,0.830714,,,,,,
boundaryFocused,fullExtended,distance-quintile,primary-family-flip,q1,0,0,0,0,0,0,0,,,,,,
boundaryFocused,fullExtended,distance-quintile,primary-family-flip,q2,0,0.01,26,4499,1956,0.434763,0.003077,,,,,,
boundaryFocused,fullExtended,distance-quintile,primary-family-flip,q3,0.01,0.36,7,1220,488,0.4,0.042857,,,,,,
boundaryFocused,fullExtended,distance-quintile,primary-family-flip,q4,0.36,0.888,18,3125,260,0.0832,0.406111,,,,,,
boundaryFocused,fullExtended,distance-quintile,primary-family-flip,q5,0.888,6.47,13,2231,16,0.007172,2.371538,,,,,,
boundaryFocused,fullExtended,distance-quintile,pure-blend-transition,q1,0,0,0,0,0,0,0,,,,,,
boundaryFocused,fullExtended,distance-quintile,pure-blend-transition,q2,0,0.35,24,4171,1410,0.338048,0.105417,,,,,,
boundaryFocused,fullExtended,distance-quintile,pure-blend-transition,q3,0.35,0.36,8,1380,137,0.099275,0.35,,,,,,
boundaryFocused,fullExtended,distance-quintile,pure-blend-transition,q4,0.36,0.528,19,3293,486,0.147586,0.368421,,,,,,
boundaryFocused,fullExtended,distance-quintile,pure-blend-transition,q5,0.528,6.11,13,2231,32,0.014343,2.011538,,,,,,
boundaryFocused,fullExtended,placement-claim-band,full-archetype-flip,lowDifferentiation,,,49,8497,2498,0.293986,0.125306,,,,,,
boundaryFocused,fullExtended,placement-claim-band,full-archetype-flip,sharplyDifferentiated,,,7,1198,2,0.001669,3.38,,,,,,
boundaryFocused,fullExtended,placement-claim-band,full-archetype-flip,stableModeration,,,8,1380,65,0.047101,1.09,,,,,,
boundaryFocused,fullExtended,posture-midpoint-location,restraint-score-distribution,all,3.99,5.05,64,0,0,0,0.484219,true,0,0.0625,0.0625,0.875,4.585
