ensemble,form,form_group,starting_class,base_vectors,answer_perturbation_trials,primary_family_flip_rate,posture_flip_rate,pure_blend_transition_rate,full_archetype_flip_rate,pure_to_blend_rate,blend_to_pure_rate,median_item_influence,maximum_item_influence,maximum_influence_item,top_flip_item,top_item_flip_concentration,top_two_item_flip_concentration,top_flip_dimension,top_dimension_flip_concentration,masked_family_flip_rate,amplified_archetype_flip_rate,omission_full_archetype_flip_rate,neutralisation_full_archetype_flip_rate,direct_posture_dimension_trials,direct_posture_dimension_flip_rate,diagnostic_item_rows
uniform,core,core,all,300,15590,0.102437,0.029314,0.158242,0.216998,0.091212,0.06703,0.242386,0.294964,v21_ni_rev_05,v21_ni_rev_05,0.096955,0.187703,restraint,0.180018,0.034253,0.148813,0.285714,0.251667,600,0.073333,28
uniform,core,core,pure,238,12360,0.049272,0.027265,0.115049,0.159385,0.115049,0,0.16740549999999998,0.241183,v21_ni_rev_05,v21_ni_rev_05,0.107614,0.214213,restraint,0.205076,0,0.110113,0.214886,0.191176,476,0.056723,14
uniform,core,core,blend,62,3230,0.305882,0.037152,0.323529,0.437461,0,0.323529,0.454455,0.553097,sc2,sc2,0.088464,0.176221,institutions,0.174098,0.165325,0.296904,0.557604,0.483871,124,0.137097,14
uniform,targeted:realist|institutionalist,targeted,all,160,10736,0.131893,0.023472,0.183215,0.241058,0.09687,0.086345,0.214286,0.4625,an_tradeoff_evidence,an_tradeoff_evidence,0.085781,0.160742,institutions,0.212482,0.033532,0.142697,0.25,0.225,320,0,38
uniform,targeted:realist|institutionalist,targeted,pure,128,8600,0.076512,0.023837,0.12093,0.178023,0.12093,0,0.154334,0.375,an_tradeoff_evidence,an_tradeoff_evidence,0.094056,0.171783,securityCompetition,0.211125,0,0.101512,0.186942,0.167411,256,0,19
uniform,targeted:realist|institutionalist,targeted,blend,32,2136,0.354869,0.022004,0.433989,0.49485,0,0.433989,0.474576,0.854167,an_tradeoff_rival,an_tradeoff_rival,0.077578,0.151372,institutions,0.2181,0.168539,0.308521,0.502232,0.455357,64,0,19
uniform,targeted:realist|constructivist,targeted,all,160,10717,0.113745,0.024167,0.159933,0.217412,0.086965,0.072968,0.21202,0.445833,an_tradeoff_rival,an_tradeoff_rival,0.091845,0.179828,institutions,0.21763,0.032472,0.136139,0.213839,0.195982,320,0.003125,38
uniform,targeted:realist|constructivist,targeted,pure,126,8424,0.061135,0.025166,0.110636,0.15812,0.110636,0,0.144086,0.330688,an_tradeoff_rival,an_tradeoff_rival,0.093844,0.18018,institutions,0.217129,0,0.096985,0.156463,0.144558,252,0.003968,19
uniform,targeted:realist|constructivist,targeted,blend,34,2293,0.307021,0.020497,0.341038,0.435238,0,0.341038,0.393939,0.882353,an_tradeoff_legitimacy,an_tradeoff_legitimacy,0.09018,0.179359,institutions,0.218303,0.151766,0.279983,0.426471,0.386555,68,0,19
uniform,targeted:realist|criticalPoliticalEconomy,targeted,all,160,10758,0.104294,0.035601,0.14064,0.201153,0.071761,0.068879,0.193603,0.385417,tradeoff_strategy,tradeoff_strategy,0.08549,0.161275,restraint,0.184254,0.022216,0.119074,0.209375,0.202232,320,0.00625,38
uniform,targeted:realist|criticalPoliticalEconomy,targeted,pure,139,9347,0.061517,0.035626,0.082593,0.14625,0.082593,0,0.145594,0.323741,tradeoff_strategy,tradeoff_strategy,0.098756,0.17703,restraint,0.20647,0,0.084733,0.15519,0.147996,278,0.007194,19
uniform,targeted:realist|criticalPoliticalEconomy,targeted,blend,21,1411,0.387668,0.035436,0.525159,0.564848,0,0.525159,0.555556,0.904762,an_tradeoff_legitimacy,an_tradeoff_legitimacy,0.071518,0.139272,politicalEconomy,0.178191,0.169383,0.346563,0.568027,0.561224,42,0,19
uniform,targeted:institutionalist|constructivist,targeted,all,160,10713,0.088957,0.042472,0.107813,0.185102,0.068048,0.039765,0.173623,0.404167,case_semiconductors,case_semiconductors,0.097832,0.17297,restraint,0.228504,0.008774,0.104919,0.192411,0.166518,320,0.00625,38
uniform,targeted:institutionalist|constructivist,targeted,pure,149,9978,0.070054,0.042493,0.073061,0.153137,0.073061,0,0.13059,0.364653,case_semiconductors,case_semiconductors,0.106675,0.186518,restraint,0.236904,0,0.083083,0.159156,0.136146,298,0.006711,19
uniform,targeted:institutionalist|constructivist,targeted,blend,11,735,0.345578,0.042177,0.579592,0.619048,0,0.579592,0.619048,0.939394,case_semiconductors,case_semiconductors,0.068132,0.136264,institutions,0.195986,0.127891,0.401361,0.642857,0.577922,22,0,19
uniform,targeted:institutionalist|criticalPoliticalEconomy,targeted,all,160,10730,0.101118,0.036347,0.130941,0.198416,0.077074,0.053868,0.202361,0.36875,an_case_rising_power_voice,an_case_rising_power_voice,0.083138,0.165336,institutions,0.209359,0.020596,0.117894,0.202232,0.191071,320,0.009375,38
uniform,targeted:institutionalist|criticalPoliticalEconomy,targeted,pure,141,9447,0.063301,0.036837,0.087541,0.154017,0.087541,0,0.15739,0.304965,an_tradeoff_tech_order,an_tradeoff_tech_order,0.08866,0.176632,institutions,0.208633,0,0.090717,0.157042,0.148936,282,0.010638,19
uniform,targeted:institutionalist|criticalPoliticalEconomy,targeted,blend,19,1283,0.379579,0.032736,0.450507,0.525331,0,0.450507,0.465753,0.859649,an_case_rising_power_voice,v21_ni_rev_05,0.083086,0.161721,institutions,0.21107,0.172253,0.318005,0.537594,0.503759,38,0,19
uniform,targeted:constructivist|criticalPoliticalEconomy,targeted,all,160,10751,0.096177,0.040554,0.140917,0.20333,0.077295,0.063622,0.227656,0.291667,an_tradeoff_energy_alignment,ni2,0.067246,0.133577,institutions,0.19551,0.017766,0.124919,0.226339,0.207589,320,0,38
uniform,targeted:constructivist|criticalPoliticalEconomy,targeted,pure,141,9475,0.061319,0.03715,0.087704,0.150923,0.087704,0,0.1673,0.224586,an_tradeoff_energy_alignment,rs2,0.077622,0.151748,restraint,0.203697,0,0.089604,0.175279,0.155015,282,0,19
uniform,targeted:constructivist|criticalPoliticalEconomy,targeted,blend,19,1276,0.355016,0.065831,0.53605,0.592476,0,0.53605,0.619718,0.824561,an_case_middle_power,ni2,0.075397,0.146825,institutions,0.202324,0.149687,0.387147,0.605263,0.597744,38,0,19
uniform,fullExtended,full,all,160,27669,0.067765,0.029564,0.104738,0.143807,0.049731,0.055007,0.1019885,0.445833,case_semiconductors,case_semiconductors,0.053782,0.09525,institutions,0.20794,0.036828,0.11287,0.148661,0.128571,320,0.0125,136
uniform,fullExtended,full,pure,122,21072,0.016657,0.030942,0.0653,0.097285,0.0653,0,0.06444849999999999,0.363388,case_semiconductors,case_semiconductors,0.064878,0.109268,restraint,0.214102,0,0.080628,0.087822,0.077869,244,0.008197,68
uniform,fullExtended,full,blend,38,6597,0.231014,0.025163,0.230711,0.292406,0,0.230711,0.2131345,0.754386,tradeoff_alliances,tradeoff_alliances,0.044583,0.086573,institutions,0.218703,0.154464,0.215856,0.343985,0.291353,76,0.026316,68
calibratedSynthetic,core,core,all,240,13197,0.009396,0.01955,0.025536,0.046677,0.016064,0.009472,0.022669,0.147799,v21_rs_rev_04,v21_rs_rev_04,0.228896,0.446429,restraint,0.446429,0.004395,0.041676,0.033929,0.058036,480,0.072917,28
calibratedSynthetic,core,core,pure,230,12647,0.003321,0.020084,0.016763,0.037796,0.016763,0,0.0132055,0.14738,v21_rs_rev_04,v21_rs_rev_04,0.282427,0.556485,restraint,0.556485,0,0.034475,0.026398,0.047516,460,0.076087,14
calibratedSynthetic,core,core,blend,10,550,0.149091,0.007273,0.227273,0.250909,0,0.227273,0.15394750000000001,0.666667,ni2,ni2,0.188406,0.369565,normsIdentity,0.369565,0.105455,0.207273,0.207143,0.3,20,0,14
calibratedSynthetic,targeted:realist|institutionalist,targeted,all,120,8402,0.001785,0.00845,0.004523,0.013211,0.004523,0,0.002128,0.054622,rs2,rs2,0.234234,0.45045,restraint,0.278571,0,0.011426,0.006548,0.008333,240,0,19
calibratedSynthetic,targeted:realist|institutionalist,targeted,pure,120,8402,0.001785,0.00845,0.004523,0.013211,0.004523,0,0.002128,0.054622,rs2,rs2,0.234234,0.45045,restraint,0.278571,0,0.011426,0.006548,0.008333,240,0,19
calibratedSynthetic,targeted:realist|institutionalist,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
calibratedSynthetic,targeted:realist|constructivist,targeted,all,120,8408,0.001546,0.009753,0.008682,0.018435,0.005471,0.003211,0.006424,0.075,an_case_burdens,an_case_burdens,0.174194,0.341935,restraint,0.231343,0.000595,0.017483,0.007143,0.010119,240,0.004167,38
calibratedSynthetic,targeted:realist|constructivist,targeted,pure,119,8337,0.00084,0.009836,0.005518,0.015353,0.005518,0,0.004301,0.07563,an_case_burdens,an_case_burdens,0.210938,0.390625,restraint,0.252199,0,0.014514,0.006002,0.007803,238,0.004202,19
calibratedSynthetic,targeted:realist|constructivist,targeted,blend,1,71,0.084507,0,0.380282,0.380282,0,0.380282,0.25,1,an_case_middle_power,an_case_middle_power,0.111111,0.222222,institutions,0.245902,0.070423,0.366197,0.142857,0.285714,2,0,19
calibratedSynthetic,targeted:realist|criticalPoliticalEconomy,targeted,all,120,8407,0.001189,0.004282,0.004044,0.008564,0.004044,0,0.00216,0.061111,tradeoff_strategy,tradeoff_strategy,0.305556,0.513889,restraint,0.218605,0,0.007375,0.00119,0.004762,240,0,19
calibratedSynthetic,targeted:realist|criticalPoliticalEconomy,targeted,pure,120,8407,0.001189,0.004282,0.004044,0.008564,0.004044,0,0.00216,0.061111,tradeoff_strategy,tradeoff_strategy,0.305556,0.513889,restraint,0.218605,0,0.007375,0.00119,0.004762,240,0,19
calibratedSynthetic,targeted:realist|criticalPoliticalEconomy,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
calibratedSynthetic,targeted:institutionalist|constructivist,targeted,all,120,8395,0.004288,0.022394,0.007624,0.031566,0.007624,0,0.017391,0.116667,case_semiconductors,case_semiconductors,0.158491,0.290566,restraint,0.289402,0,0.027278,0.009524,0.022024,240,0,19
calibratedSynthetic,targeted:institutionalist|constructivist,targeted,pure,120,8395,0.004288,0.022394,0.007624,0.031566,0.007624,0,0.017391,0.116667,case_semiconductors,case_semiconductors,0.158491,0.290566,restraint,0.289402,0,0.027278,0.009524,0.022024,240,0,19
calibratedSynthetic,targeted:institutionalist|constructivist,targeted,blend,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0
calibratedSynthetic,targeted:institutionalist|criticalPoliticalEconomy,targeted,all,120,8380,0.002029,0.009308,0.005251,0.014797,0.001671,0.00358,0.006479,0.072222,an_tradeoff_energy_alignment,an_tradeoff_energy_alignment,0.209677,0.346774,restraint,0.232,0.000477,0.013246,0.004167,0.008333,240,0.008333,38
calibratedSynthetic,targeted:institutionalist|criticalPoliticalEconomy,targeted,pure,119,8311,0.000602,0.009385,0.001685,0.01131,0.001685,0,0.002169,0.070028,an_tradeoff_energy_alignment,an_tradeoff_energy_alignment,0.265957,0.43617,restraint,0.250784,0,0.010709,0.001801,0.003601,238,0.008403,19
calibratedSynthetic,targeted:institutionalist|criticalPoliticalEconomy,targeted,blend,1,69,0.173913,0,0.434783,0.434783,0,0.434783,0.333333,1,an_case_rising_power_voice,ni2,0.133333,0.266667,normsIdentity,0.25,0.057971,0.318841,0.285714,0.571429,2,0,19
calibratedSynthetic,targeted:constructivist|criticalPoliticalEconomy,targeted,all,120,8393,0.006196,0.0112,0.007149,0.018825,0.002264,0.004885,0.012876,0.072222,an_tradeoff_energy_alignment,an_tradeoff_energy_alignment,0.164557,0.303797,restraint,0.255172,0.003336,0.015966,0.005357,0.015476,240,0.004167,38
calibratedSynthetic,targeted:constructivist|criticalPoliticalEconomy,targeted,pure,118,8251,0.00097,0.011393,0.002303,0.01418,0.002303,0,0.004405,0.062147,an_tradeoff_energy_alignment,an_tradeoff_energy_alignment,0.188034,0.358974,restraint,0.280556,0,0.013211,0.003632,0.009685,236,0.004237,19
calibratedSynthetic,targeted:constructivist|criticalPoliticalEconomy,targeted,blend,2,142,0.309859,0,0.288732,0.288732,0,0.288732,0.333333,0.75,ni2,ni2,0.146341,0.268293,institutions,0.24,0.197183,0.176056,0.107143,0.357143,4,0,19
calibratedSynthetic,fullExtended,full,all,160,29304,0.001536,0.00604,0.000512,0.006552,0.000273,0.000239,0,0.041667,tradeoff_strategy,tradeoff_strategy,0.104167,0.1875,restraint,0.279687,0.001433,0.00645,0.002232,0.001339,320,0.003125,136
calibratedSynthetic,fullExtended,full,pure,159,29118,0.000069,0.006079,0.000275,0.006353,0.000275,0,0,0.041929,tradeoff_strategy,tradeoff_strategy,0.108108,0.194595,restraint,0.286872,0,0.006285,0.002246,0.000898,318,0.003145,68
calibratedSynthetic,fullExtended,full,blend,1,186,0.231183,0,0.037634,0.037634,0,0.037634,0,1,an_tradeoff_rival,an_tradeoff_rival,0.428571,0.571429,normsIdentity,0.304348,0.225806,0.032258,0,0.071429,2,0,68
