ensemble,form,perturbation_scope,transition_type,from,to,changed,count,share_within_ensemble_form_scope_type
boundaryFocused,core,answer,family,constructivist,constructivist,false,343,0.103469
boundaryFocused,core,answer,family,constructivist,criticalPoliticalEconomy,true,172,0.051885
boundaryFocused,core,answer,family,constructivist,institutionalist,true,24,0.00724
boundaryFocused,core,answer,family,constructivist,realist,true,36,0.01086
boundaryFocused,core,answer,family,criticalPoliticalEconomy,constructivist,true,27,0.008145
boundaryFocused,core,answer,family,criticalPoliticalEconomy,criticalPoliticalEconomy,false,481,0.145098
boundaryFocused,core,answer,family,criticalPoliticalEconomy,institutionalist,true,17,0.005128
boundaryFocused,core,answer,family,criticalPoliticalEconomy,realist,true,93,0.028054
boundaryFocused,core,answer,family,institutionalist,constructivist,true,77,0.023228
boundaryFocused,core,answer,family,institutionalist,criticalPoliticalEconomy,true,136,0.041026
boundaryFocused,core,answer,family,institutionalist,institutionalist,false,351,0.105882
boundaryFocused,core,answer,family,institutionalist,realist,true,17,0.005128
boundaryFocused,core,answer,family,realist,constructivist,true,126,0.038009
boundaryFocused,core,answer,family,realist,criticalPoliticalEconomy,true,183,0.055204
boundaryFocused,core,answer,family,realist,institutionalist,true,138,0.041629
boundaryFocused,core,answer,family,realist,realist,false,1094,0.330015
boundaryFocused,core,answer,full-archetype,M/S-,M-,true,24,0.00724
boundaryFocused,core,answer,full-archetype,M/S-,M/S-,false,122,0.036802
boundaryFocused,core,answer,full-archetype,M/S-,M/S+,true,9,0.002715
boundaryFocused,core,answer,full-archetype,M/S-,P-,true,3,0.000905
boundaryFocused,core,answer,full-archetype,M/S-,P/M-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,M/S-,P/M+,true,1,0.000302
boundaryFocused,core,answer,full-archetype,M/S-,P/R-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,M/S-,P/S-,true,11,0.003318
boundaryFocused,core,answer,full-archetype,M/S-,R-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,M/S-,R/M-,true,11,0.003318
boundaryFocused,core,answer,full-archetype,M/S-,R/S-,true,8,0.002413
boundaryFocused,core,answer,full-archetype,M/S-,S-,true,15,0.004525
boundaryFocused,core,answer,full-archetype,M/S+,M/S-,true,4,0.001207
boundaryFocused,core,answer,full-archetype,M/S+,M/S+,false,122,0.036802
boundaryFocused,core,answer,full-archetype,M/S+,M+,true,24,0.00724
boundaryFocused,core,answer,full-archetype,M/S+,P/M+,true,13,0.003922
boundaryFocused,core,answer,full-archetype,M/S+,P/S+,true,16,0.004827
boundaryFocused,core,answer,full-archetype,M/S+,P+,true,2,0.000603
boundaryFocused,core,answer,full-archetype,M/S+,R/M+,true,10,0.003017
boundaryFocused,core,answer,full-archetype,M/S+,R/S+,true,8,0.002413
boundaryFocused,core,answer,full-archetype,M/S+,S+,true,16,0.004827
boundaryFocused,core,answer,full-archetype,M+,M+,false,57,0.017195
boundaryFocused,core,answer,full-archetype,M+,R/M-,true,2,0.000603
boundaryFocused,core,answer,full-archetype,M+,R/M+,true,39,0.011765
boundaryFocused,core,answer,full-archetype,M+,R+,true,6,0.00181
boundaryFocused,core,answer,full-archetype,P/M-,M-,true,18,0.00543
boundaryFocused,core,answer,full-archetype,P/M-,P-,true,17,0.005128
boundaryFocused,core,answer,full-archetype,P/M-,P/M-,false,64,0.019306
boundaryFocused,core,answer,full-archetype,P/M-,P/M+,true,4,0.001207
boundaryFocused,core,answer,full-archetype,P/M+,M-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/M+,M+,true,23,0.006938
boundaryFocused,core,answer,full-archetype,P/M+,P/M-,true,2,0.000603
boundaryFocused,core,answer,full-archetype,P/M+,P/M+,false,88,0.026546
boundaryFocused,core,answer,full-archetype,P/M+,P/R+,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/M+,P/S+,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/M+,P+,true,28,0.008446
boundaryFocused,core,answer,full-archetype,P/M+,R/M+,true,7,0.002112
boundaryFocused,core,answer,full-archetype,P/M+,R/S+,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/M+,R+,true,2,0.000603
boundaryFocused,core,answer,full-archetype,P/R-,P-,true,31,0.009351
boundaryFocused,core,answer,full-archetype,P/R-,P/R-,false,124,0.037406
boundaryFocused,core,answer,full-archetype,P/R-,P/R+,true,4,0.001207
boundaryFocused,core,answer,full-archetype,P/R-,P/S-,true,4,0.001207
boundaryFocused,core,answer,full-archetype,P/R-,P+,true,6,0.00181
boundaryFocused,core,answer,full-archetype,P/R-,R-,true,38,0.011463
boundaryFocused,core,answer,full-archetype,P/R-,R/M-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/R+,P/R-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/R+,P/R+,false,30,0.00905
boundaryFocused,core,answer,full-archetype,P/R+,P/S+,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/R+,P+,true,10,0.003017
boundaryFocused,core,answer,full-archetype,P/R+,R-,true,2,0.000603
boundaryFocused,core,answer,full-archetype,P/R+,R/S+,true,2,0.000603
boundaryFocused,core,answer,full-archetype,P/R+,R+,true,5,0.001508
boundaryFocused,core,answer,full-archetype,P/S-,M/S-,true,1,0.000302
boundaryFocused,core,answer,full-archetype,P/S-,P-,true,5,0.001508
