route,content_id,template,publication_availability,locale,version,condition,instance_kind,navigation_path,shortest_observed_link_depth,navigation_status,intended_payoff,reason_to_continue,default_inspection,expanded_inspection,desktop_inspection,mobile_inspection,evidence_path,existing_or_new_issue,severity,issue,disposition,affected_batch
/about,/about,app/about/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/about""]",1,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,See which foreign-policy arguments you rely on and where they conflict.,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/01-about.jpg,,,[],rendered; no structural issue found in checked states,B
/ai/atlas,/ai/atlas,app/ai/atlas/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/ai"",""/ai/atlas""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Six archetypes that recur in AI governance answers,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/02-ai-atlas.jpg,existing,bounded review finding,"[{""id"":""B-copy-directory"",""routes"":[""/explore"",""/archetypes"",""/explore/atlas"",""/ai/atlas""],""finding"":""Counted headings, decorative ordinals and process-led opening blocks postpone actual directory content, particularly on mobile."",""bounded_next_action"":""Use existing Batch B to give linked readings early space and remove routine counts/ordinals without losing evidence.""}]",Batch B; no issued semantic change in A,B
/ai/field-guide,/ai/field-guide,app/ai/field-guide/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/ai"",""/ai/field-guide""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,A reader’s companion to the AI Atlas.,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/03-ai-field-guide.jpg,existing,bounded review finding,"[{""id"":""B-detail-payoff"",""routes"":[""/ai/field-guide"",""/explore/realism"",""/modules"",""/perspectives""],""finding"":""Repeated process/baseline/qualification framing uses most or all first mobile viewport before substantive argument or available choice."",""bounded_next_action"":""Apply existing Batch B payoff-first edit to these exact templates; preserve one essential limitation and move full method below.""}]",Batch B; no issued semantic change in A,B
/ai,/ai,app/ai/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/ai""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Compare your judgments on frontier AI governance,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/04-ai.jpg,,,[],rendered; no structural issue found in checked states,B
/ai/quiz,/ai/quiz,app/ai/quiz/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/ai"",""/ai/quiz""]",3,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/05-ai-quiz.jpg,,,[],rendered; no structural issue found in checked states,B
/ai/review,/ai/review,app/ai/review/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,matching local synthetic draft required for populated review; empty state is public,finite route,Direct-entry/state/translation boundary: no path in the observed empty-state graph,,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/06-ai-review.jpg,,,[],rendered; no structural issue found in checked states,B
/archetypes,/archetypes,app/archetypes/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/explore"",""/archetypes""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Foundation archetypes,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/08-archetypes.jpg,existing,bounded review finding,"[{""id"":""B-copy-directory"",""routes"":[""/explore"",""/archetypes"",""/explore/atlas"",""/ai/atlas""],""finding"":""Counted headings, decorative ordinals and process-led opening blocks postpone actual directory content, particularly on mobile."",""bounded_next_action"":""Use existing Batch B to give linked readings early space and remove routine counts/ordinals without losing evidence.""}]",Batch B; no issued semantic change in A,B
/beta,/beta,app/beta/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,direct-entry-only by default; navigation requires V22_5_BETA_NAV_ENABLED=true; do not submit external forms,finite route,Direct-entry/state/translation boundary: no path in the observed empty-state graph,,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,"Help test whether the Inventory is clear, fair, and useful.",Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/07-beta.jpg,,,[],rendered; no structural issue found in checked states,B
/cases,/cases,app/cases/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,,finite route,"[""/"",""/method"",""/cases""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Recent cases,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/09-cases.jpg,existing,bounded review finding,"[{""id"":""B-publication-freshness"",""routes"":[""/futures"",""/cases""],""finding"":""Futures describes 2026 signals; case index explicitly has no inside-window Current Case. This pass verified rendering, not live source claims or freshness."",""bounded_next_action"":""Source/editor review must decide dated background status and exact latest-evidence scope; do not relabel as current automatically.""},{""id"":""B-shared-mobile-menu-overflow"",""routes"":[""/cases""],""finding"":""Actual mobile Menu opening at390px produces770px horizontal extent; .mobile-nav and .mobile-nav-sheet width734px. Viewport screenshot shows clipped right side and header displacement."",""bounded_next_action"":""Constrain expanded mobile nav in existing shared-header layout; then repeat the actual mobile Menu state at390px across representative shared-header pages."",""evidence"":""/private/tmp/ir-decision-mobile-menu-check.json"",""scope_limit"":""Only /cases confirmed in this supplemental interaction; shared component suggests wider impact but other routes were not each rechecked.""}]",Batch B; no issued semantic change in A,B
/compare,/compare,app/compare/page.tsx,published,en,not independently versioned; repository da96b7e9b51426ad2bfb0ab0cc9d0ad4bf248a79,comparison input/query or synthetic local records; empty state public,finite route,"[""/"",""/world-stage"",""/compare""]",2,Rendered visible-link graph; only the three journeys in verification.json were individually replayed,Compare two shared profiles,Follow the page’s related reading or evidence link.,HTTP200; heading/links/structural DOM checked,Disclosure/menu DOM checked,1440 structural check; regional visual inspection only if listed in verification.json,390 structural check; regional visual inspection only if listed in verification.json,template-inspection/10-compare.jpg,existing,bounded review finding,"[{""id"":""B-desktop-pseudo-overflow"",""routes"":[""/compare"",""/explore/reference"",""/futures"",""/perspectives"",""/references"",""/zh/explore/reference""],""finding"":""Desktop default/expanded document scrollWidth1476 at viewport1440; production recheck confirms."",""bounded_next_action"":""Remove or contain decorative hero pseudo-element overflow within the existing shared-layout scope after reviewing production correction evidence.""}]",Batch B; no issued semantic change in A,B
