participant_code,wave,required_or_optional,planned_locale_path,actual_locale_path,planned_segment_target,actual_segment_band,planned_policy_term_familiarity,actual_policy_term_familiarity,planned_non_us_non_western_context_target,actual_non_us_non_western_context_response,career_stage_band,extended_block_id,module_slug,neutral_security_item_id,actor_perspective_item_id,recruitment_status,session_date_yyyy_mm_dd,agreement_to_notes,recording_status,moderator_code,note_taker_code,protocol_deviation
W1-01,1,required,en,,IR-trained,,high,,,,,B1,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-02,1,required,en,,informed-non-specialist,,low-or-none,,,,,B2,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-03,1,required,zh-Hans-plus-English-module,,IR-trained,,high,,include,,,B3,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-04,1,required,en,,informed-non-specialist,,low-or-none,,include,,,B4,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-05,1,required,zh-Hans-plus-English-module,,informed-non-specialist,,low-or-none,,,,,B5,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-06,1,required,en,,policy-adjacent-practitioner,,mixed,,include,,,B6,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-07,1,optional,en,,quota-or-retest-need,,,,,,,,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W1-08,1,optional,quota-or-retest-need,,quota-or-retest-need,,,,,,,,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-01,2,required,en,,IR-trained,,high,,,,,B1,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-02,2,required,en,,informed-non-specialist,,low-or-none,,,,,B2,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-03,2,required,zh-Hans-plus-English-module,,informed-non-specialist,,low-or-none,,include,,,B3,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-04,2,required,en,,IR-trained,,high,,include,,,B4,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-05,2,required,zh-Hans-plus-English-module,,IR-trained,,mixed,,,,,B5,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-06,2,required,en,,policy-adjacent-practitioner,,low-or-none,,include,,,B6,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-07,2,optional,quota-or-retest-need,,quota-or-retest-need,,,,,,,,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
W2-08,2,optional,quota-or-retest-need,,quota-or-retest-need,,,,,,,,security,gray_zone_sabotage,middle_power_alignment,not-recruited,,,off,,,
