block_id,item_id,item_kind,dimension_or_scale,planned_wave1_count,planned_wave2_count,minimum_total_count,completed_en,completed_zh_hans,completed_total,issue_ids,revision_status
B1,sc1,likert,securityCompetition,1,1,2,0,0,0,,not-reviewed
B2,in1,likert,institutions,1,1,2,0,0,0,,not-reviewed
B3,val_mi_1,likert,militantInternationalism,1,1,2,0,0,0,,not-reviewed
B4,ni1,likert,normsIdentity,1,1,2,0,0,0,,not-reviewed
B5,val_ci_1,likert,cooperativeInternationalism,1,1,2,0,0,0,,not-reviewed
B6,pe1,likert,politicalEconomy,1,1,2,0,0,0,,not-reviewed
B1,rs1,likert,restraint,1,1,2,0,0,0,,not-reviewed
B2,val_iso_1,likert,isolationism,1,1,2,0,0,0,,not-reviewed
B3,tradeoff_alliances,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B4,val_mi_2,likert,militantInternationalism,1,1,2,0,0,0,,not-reviewed
B5,val_ci_2,likert,cooperativeInternationalism,1,1,2,0,0,0,,not-reviewed
B6,val_iso_2,likert,isolationism,1,1,2,0,0,0,,not-reviewed
B1,tradeoff_interdependence,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B2,df2,likert,domesticFilters,1,1,2,0,0,0,,not-reviewed
B3,val_mi_3,likert,militantInternationalism,1,1,2,0,0,0,,not-reviewed
B4,val_ci_3,likert,cooperativeInternationalism,1,1,2,0,0,0,,not-reviewed
B5,val_iso_3,likert,isolationism,1,1,2,0,0,0,,not-reviewed
B6,val_mi_4,likert,militantInternationalism,1,1,2,0,0,0,,not-reviewed
B1,val_ci_4,likert,cooperativeInternationalism,1,1,2,0,0,0,,not-reviewed
B2,tradeoff_strategy,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B3,val_iso_4,likert,isolationism,1,1,2,0,0,0,,not-reviewed
B4,tradeoff_intervention,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B5,case_semiconductors,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B6,case_protection,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B1,v21_sc_rev_01,likert,securityCompetition,1,1,2,0,0,0,,not-reviewed
B2,v21_sc_rev_05,likert,securityCompetition,1,1,2,0,0,0,,not-reviewed
B3,v21_df_rev_01,likert,domesticFilters,1,1,2,0,0,0,,not-reviewed
B4,v21_ni_rev_01,likert,normsIdentity,1,1,2,0,0,0,,not-reviewed
B5,v21_rs_rev_05,likert,restraint,1,1,2,0,0,0,,not-reviewed
B6,v21_oj_rev_02,likert,orderJustice,1,1,2,0,0,0,,not-reviewed
B1,an_sc3,likert,securityCompetition,1,1,2,0,0,0,,not-reviewed
B2,an_in3,likert,institutions,1,1,2,0,0,0,,not-reviewed
B3,an_pe3,likert,politicalEconomy,1,1,2,0,0,0,,not-reviewed
B4,an_oj3,likert,orderJustice,1,1,2,0,0,0,,not-reviewed
B5,an_sc4,likert,securityCompetition,1,1,2,0,0,0,,not-reviewed
B6,an_ni3,likert,normsIdentity,1,1,2,0,0,0,,not-reviewed
B1,an_pe4,likert,politicalEconomy,1,1,2,0,0,0,,not-reviewed
B2,an_in4,likert,institutions,1,1,2,0,0,0,,not-reviewed
B3,an_tradeoff_legitimacy,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B4,an_tradeoff_rival,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B5,an_case_finance,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B6,an_case_burdens,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B1,an_tradeoff_evidence,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B2,an_tradeoff_tech_order,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B3,an_case_middle_power,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B4,an_case_green_finance,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B5,an_case_maritime_crisis,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B6,an_case_digital_stack,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B1,an_tradeoff_parallel_order,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B2,an_case_sanctions_alignment,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B3,an_case_intervention_memory,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B4,an_case_rising_power_voice,miniCase,scenario,1,1,2,0,0,0,,not-reviewed
B5,an_tradeoff_energy_alignment,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
B6,an_tradeoff_ceasefire_settlement,tradeoff,scenario,1,1,2,0,0,0,,not-reviewed
