ensemble,form,starting_class,item_id,dimensions,perturbation_trials,family_flips,family_flip_rate,posture_flips,posture_flip_rate,routing_flips,routing_flip_rate,full_archetype_flips,full_archetype_flip_rate,mean_dimension_l1,max_dimension_l1,omission_trials,omission_full_archetype_flip_rate,neutralisation_trials,neutralisation_full_archetype_flip_rate
boundaryFocused,core,blend,df1,domesticFilters,129,59,0.457364,0,0,27,0.209302,38,0.294574,0.817829,3,35,0.542857,35,0.4
boundaryFocused,core,blend,in2,institutions,135,65,0.481481,0,0,44,0.325926,57,0.422222,0.655556,3,35,0.571429,35,0.342857
boundaryFocused,core,blend,ni2,normsIdentity,134,64,0.477612,0,0,49,0.365672,68,0.507463,0.705224,3,35,0.6,35,0.457143
boundaryFocused,core,blend,oj1,orderJustice,124,58,0.467742,0,0,19,0.153226,29,0.233871,0.846774,3,35,0.457143,35,0.314286
boundaryFocused,core,blend,oj2,orderJustice,131,68,0.519084,0,0,21,0.160305,28,0.21374,0.782443,3,35,0.457143,35,0.285714
boundaryFocused,core,blend,pe2,politicalEconomy,134,56,0.41791,0,0,22,0.164179,37,0.276119,0.716418,3,35,0.542857,35,0.371429
boundaryFocused,core,blend,rs2,restraint,127,60,0.472441,40,0.314961,11,0.086614,44,0.346457,0.854331,3,35,0.485714,35,0.485714
boundaryFocused,core,blend,sc2,securityCompetition,133,65,0.488722,0,0,65,0.488722,85,0.639098,0.75188,3,35,0.714286,35,0.571429
boundaryFocused,core,blend,v21_df_rev_04,domesticFilters,126,60,0.47619,0,0,23,0.18254,38,0.301587,0.857143,3,35,0.485714,35,0.457143
boundaryFocused,core,blend,v21_in_rev_03,institutions,129,59,0.457364,0,0,47,0.364341,62,0.48062,0.72093,3,35,0.571429,35,0.485714
boundaryFocused,core,blend,v21_ni_rev_05,normsIdentity,132,76,0.575758,0,0,52,0.393939,71,0.537879,0.746212,3,35,0.628571,35,0.514286
boundaryFocused,core,blend,v21_pe_rev_02,politicalEconomy,128,47,0.367188,0,0,21,0.164063,37,0.289063,0.738281,3,35,0.485714,35,0.4
boundaryFocused,core,blend,v21_rs_rev_04,restraint,132,63,0.477273,21,0.159091,9,0.068182,27,0.204545,0.768939,3,35,0.342857,35,0.171429
boundaryFocused,core,blend,v21_sc_rev_02,securityCompetition,126,63,0.5,0,0,66,0.52381,79,0.626984,0.81746,3,35,0.714286,35,0.571429
boundaryFocused,core,pure,df1,domesticFilters,96,14,0.145833,0,0,28,0.291667,32,0.333333,1.036458,3,29,0.310345,29,0.344828
boundaryFocused,core,pure,in2,institutions,97,19,0.195876,0,0,30,0.309278,40,0.412371,0.912371,3,29,0.413793,29,0.413793
boundaryFocused,core,pure,ni2,normsIdentity,103,22,0.213592,0,0,32,0.31068,44,0.427184,0.84466,3,29,0.517241,29,0.448276
boundaryFocused,core,pure,oj1,orderJustice,109,7,0.06422,0,0,36,0.330275,37,0.33945,0.642202,3,29,0.310345,29,0.344828
boundaryFocused,core,pure,oj2,orderJustice,108,6,0.055556,0,0,33,0.305556,34,0.314815,0.657407,3,29,0.241379,29,0.275862
boundaryFocused,core,pure,pe2,politicalEconomy,109,6,0.055046,0,0,33,0.302752,35,0.321101,0.756881,3,29,0.37931,29,0.275862
boundaryFocused,core,pure,rs2,restraint,108,0,0,31,0.287037,37,0.342593,59,0.546296,0.893519,3,29,0.517241,29,0.551724
boundaryFocused,core,pure,sc2,securityCompetition,110,27,0.245455,0,0,44,0.4,53,0.481818,0.759091,2.5,29,0.551724,29,0.482759
boundaryFocused,core,pure,v21_df_rev_04,domesticFilters,111,14,0.126126,0,0,36,0.324324,39,0.351351,0.855856,3,29,0.413793,29,0.275862
boundaryFocused,core,pure,v21_in_rev_03,institutions,110,11,0.1,0,0,36,0.327273,39,0.354545,0.781818,3,29,0.344828,29,0.448276
boundaryFocused,core,pure,v21_ni_rev_05,normsIdentity,108,15,0.138889,0,0,25,0.231481,28,0.259259,0.777778,3,29,0.241379,29,0.206897
boundaryFocused,core,pure,v21_pe_rev_02,politicalEconomy,106,11,0.103774,0,0,30,0.283019,34,0.320755,0.806604,3,29,0.310345,29,0.413793
boundaryFocused,core,pure,v21_rs_rev_04,restraint,108,3,0.027778,32,0.296296,39,0.361111,62,0.574074,0.893519,3,29,0.551724,29,0.551724
boundaryFocused,core,pure,v21_sc_rev_02,securityCompetition,112,28,0.25,0,0,40,0.357143,51,0.455357,0.745536,2.5,29,0.448276,29,0.482759
boundaryFocused,fullExtended,blend,an_case_burdens,domesticFilters|institutions|normsIdentity|restraint|securityCompetition,99,57,0.575758,7,0.070707,35,0.353535,48,0.484848,0.208586,0.41,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_digital_stack,institutions|normsIdentity|politicalEconomy|restraint|securityCompetition,99,51,0.515152,7,0.070707,39,0.393939,59,0.59596,0.222121,0.36,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_finance,domesticFilters|institutions|politicalEconomy|restraint,99,56,0.565657,0,0,20,0.20202,26,0.262626,0.193535,0.36,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_green_finance,domesticFilters|institutions|normsIdentity|orderJustice|politicalEconomy,99,42,0.424242,0,0,11,0.111111,18,0.181818,0.224949,0.39,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_intervention_memory,domesticFilters|institutions|normsIdentity|orderJustice|restraint,99,50,0.505051,9,0.090909,3,0.030303,18,0.181818,0.250202,0.48,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_maritime_crisis,domesticFilters|institutions|restraint|securityCompetition,99,44,0.444444,8,0.080808,24,0.242424,43,0.434343,0.207273,0.34,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_middle_power,domesticFilters|institutions|normsIdentity|politicalEconomy|restraint|securityCompetition,99,53,0.535354,12,0.121212,23,0.232323,33,0.333333,0.171414,0.33,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_rising_power_voice,domesticFilters|institutions|normsIdentity|politicalEconomy|securityCompetition,99,67,0.676768,0,0,50,0.505051,59,0.59596,0.240202,0.42,0,0,0,0
boundaryFocused,fullExtended,blend,an_case_sanctions_alignment,domesticFilters|institutions|normsIdentity|orderJustice|politicalEconomy|restraint,99,48,0.484848,3,0.030303,12,0.121212,17,0.171717,0.244343,0.47,0,0,0,0
boundaryFocused,fullExtended,blend,an_in3,institutions,56,30,0.535714,0,0,0,0,3,0.053571,0.038571,0.05,0,0,0,0
boundaryFocused,fullExtended,blend,an_in4,institutions,55,25,0.454545,0,0,0,0,3,0.054545,0.038182,0.05,0,0,0,0
boundaryFocused,fullExtended,blend,an_ni3,normsIdentity,55,28,0.509091,0,0,3,0.054545,7,0.127273,0.068727,0.09,0,0,0,0
boundaryFocused,fullExtended,blend,an_oj3,orderJustice,60,29,0.483333,0,0,1,0.016667,2,0.033333,0.091667,0.11,0,0,0,0
boundaryFocused,fullExtended,blend,an_pe3,politicalEconomy,59,25,0.423729,0,0,0,0,2,0.033898,0.064746,0.09,0,0,0,0
boundaryFocused,fullExtended,blend,an_pe4,politicalEconomy,57,21,0.368421,0,0,1,0.017544,3,0.052632,0.06386,0.09,0,0,0,0
boundaryFocused,fullExtended,blend,an_sc3,securityCompetition,55,26,0.472727,0,0,1,0.018182,4,0.072727,0.052727,0.06,0,0,0,0
boundaryFocused,fullExtended,blend,an_sc4,securityCompetition,60,28,0.466667,0,0,0,0,3,0.05,0.0535,0.06,0,0,0,0
boundaryFocused,fullExtended,blend,an_tradeoff_ceasefire_settlement,domesticFilters|institutions|orderJustice|politicalEconomy|restraint,99,43,0.434343,8,0.080808,7,0.070707,18,0.181818,0.235354,0.43,0,0,0,0
